name,time,temperature,profile,power, fan,mode,elapsed (msec)
frame_0,0,197,000,50,0,PH,1356
frame_5,0,197,000,50,0,PH,1203
frame_10,0,196,000,50,0,PH,1110
frame_15,0,195,000,50,0,PH,1218
frame_20,0,190,000,50,0,PH,854
frame_25,0,175,000,50,0,PH,916
frame_30,2,153,000,50,0,R,984
frame_35,7,136,000,50,0,R,1100
frame_40,12,123,000,50,0,R,904
frame_45,17,110,000,50,0,R,1059
frame_50,22,102,000,50,0,R,1320
frame_55,0,45,000,0,0,R,1069
frame_60,0,0,000,4,0,,633
frame_65,0,0,,0,0,,116
frame_70,42,86,000,75,50,R,955
frame_75,46,84,000,75,50,R,723
frame_80,51,83,000,75,50,R,689
frame_85,56,83,000,75,50,R,835
frame_90,61,82,000,75,50,R,743
frame_95,66,82,000,75,50,R,1590
frame_100,71,82,000,75,50,R,1725
frame_105,76,83,000,75,50,R,1735
frame_110,81,83,000,75,50,R,1721
frame_115,86,84,000,75,50,R,1180
frame_120,91,85,000,75,50,R,752
frame_125,0,0,000,5,50,,468
frame_130,101,86,000,80,50,R,689
frame_135,106,87,000,80,45,R,1242
frame_140,111,88,000,80,45,R,1573
frame_145,116,89,000,80,45,R,1156
frame_150,121,90,008,80,45,R,927
frame_155,126,91,008,80,45,R,698
frame_160,131,92,008,80,45,R,880
frame_165,136,94,008,80,45,R,738
frame_170,141,95,008,80,45,R,851
frame_175,146,96,008,80,45,R,775
frame_180,151,97,008,80,45,R,737
frame_185,156,98,008,80,45,R,1066
frame_190,0,100,008,80,45,R,585
frame_195,166,101,008,75,45,R,738
frame_200,171,103,008,75,45,R,678
frame_205,176,104,008,75,45,R,685
frame_210,181,105,015,75,45,R,921
frame_215,186,106,015,75,45,R,804
frame_220,191,107,015,75,45,R,923
frame_225,196,108,015,75,45,R,696
frame_230,201,109,015,75,45,R,669
frame_235,206,110,015,75,45,R,751
frame_240,210,111,015,75,45,R,828
frame_245,215,113,015,75,45,R,719
frame_250,220,114,015,75,45,R,773
frame_255,225,115,015,75,45,R,687
frame_260,230,116,015,75,45,R,641
frame_265,235,117,015,75,45,R,812
frame_270,240,118,013,75,45,R,670
frame_275,245,119,013,75,45,R,724
frame_280,0,120,013,4,35,,454
frame_285,255,121,013,75,35,R,705
